claim_id,policy_id,claim_number,edad,zona,anios_vehiculo,cobertura,historial_siniestros,tipo_uso,severidad,severidad_esperada_real
120,824,1,55,4,0,1,2,0,11212.16140693081,12225.142857990617
121,824,2,55,4,0,1,2,0,12881.462702942388,12225.142857990617
122,835,1,66,1,13,0,1,1,8151.846230621834,7385.323507265496
123,845,1,18,4,1,2,2,0,8726.41889972085,17734.195430821725
124,849,1,64,5,19,2,3,0,25302.506714996154,26350.696862118024
125,850,1,52,5,12,2,3,2,13801.908935282221,28148.5184040566
126,850,2,52,5,12,2,3,2,26694.768722615387,28148.5184040566
127,853,1,72,5,9,2,1,1,30849.590964068895,23370.971568751167
128,854,1,31,5,2,0,2,1,22335.31565209196,9655.181565308612
129,856,1,66,5,15,2,0,0,29665.211711707685,25115.73949232187
130,862,1,70,2,0,2,1,0,16901.80999991039,12225.142857990617
131,862,2,70,2,0,2,1,0,5777.551630354129,12225.142857990617
132,871,1,44,2,10,0,3,2,10572.324187366108,9147.629009077667
133,884,1,26,5,7,2,2,2,12338.866486994904,26509.27630588399
134,886,1,59,5,19,1,0,0,29417.4773899745,17663.40033368609
135,891,1,23,3,13,0,3,1,4313.80319395161,9020.454501679225
136,893,1,47,2,13,0,3,0,4099.312560452711,8162.044760810268
137,904,1,68,3,17,2,0,1,23367.53525907045,17948.28776087009
138,926,1,71,1,0,2,0,0,22111.9620863305,10211.297659526826
139,934,1,55,4,7,2,0,0,29313.9235281352,19058.147892404617
140,935,1,43,3,18,0,2,1,6777.142357474558,9578.2482563326
141,935,2,43,3,18,0,2,1,4778.385637069764,9578.2482563326
142,937,1,27,5,6,2,0,1,15316.506457996169,22544.58087306582
143,948,1,25,2,16,0,1,0,7794.291713377585,8461.231420614573
144,956,1,52,3,8,2,4,2,15420.16956240889,18718.17020884131
145,958,1,54,3,3,1,1,1,5378.257991247128,11017.6080082093
146,962,1,41,1,19,1,2,0,17595.36312565582,10089.494368991673
147,970,1,20,5,5,1,3,1,26353.55858920339,14931.82320565183
148,977,1,23,4,5,0,3,2,25507.372252154037,10522.277970808365
149,980,1,50,4,12,2,2,1,6979.529229163329,20236.63794162165
150,986,1,55,2,19,0,3,0,4833.1522130953435,8771.385020692798
151,996,1,53,2,13,1,0,0,10656.935974005684,10799.444752660644
152,997,1,48,2,16,2,1,0,12767.523800130253,14812.845166711255
153,1001,1,64,5,3,1,0,1,9786.347069839198,14577.725616309404
154,1002,1,59,1,7,0,4,0,3688.937214497292,6872.271699071312
155,1002,2,59,1,7,0,4,0,3412.6739978411156,6872.271699071312
156,1005,1,25,4,18,0,1,0,27733.145365830984,10585.601419007568
157,1011,1,33,3,10,0,1,1,3412.347829014279,8701.493877850995
158,1014,1,35,1,11,0,3,0,2631.658021304975,7210.185802082461
159,1044,1,39,2,14,0,3,0,3694.113105882111,8260.579322900616
160,1045,1,58,2,3,1,0,1,9151.873709381174,9578.248256332583
161,1059,1,42,5,13,1,2,1,12159.07629579959,16436.339735576883
162,1066,1,40,3,6,2,0,1,16974.982298599443,15728.820356331807
163,1068,1,54,2,14,2,2,0,8428.114143643805,14461.5690571167
164,1071,1,56,2,19,0,2,0,7914.419531447725,8771.385020692798
165,1076,1,27,4,15,0,0,1,9196.873762054109,10211.297659526826
166,1084,1,49,3,9,2,0,1,33327.168795978854,16305.373580796846
167,1090,1,26,3,4,0,1,0,18517.176692688958,8097.008893052415
168,1092,1,43,2,16,2,2,0,11719.156228367248,14812.845166711255
169,1103,1,70,5,3,0,0,0,13443.001540805813,9771.74170621945
170,1106,1,28,2,18,0,2,0,8146.163961047896,8666.75742156741
171,1107,1,31,4,1,0,0,0,11338.01251707576,8632.159633587491
172,1112,1,31,5,18,1,1,1,18539.749747862308,17452.706222671204
173,1119,1,59,2,2,2,1,0,16135.218333188892,12522.09546426946
174,1135,1,52,5,14,0,0,0,15324.215880526228,11150.61575469762
175,1135,2,52,5,14,0,0,0,12106.729982206194,11150.61575469762
176,1149,1,57,5,13,0,1,1,10211.072902892087,11017.60800820932
177,1156,1,51,4,8,2,1,0,29423.565667890365,19288.223359014166
178,1158,1,66,5,5,2,3,1,17782.031939528155,22275.66263900449
179,1167,1,19,5,15,1,3,1,10542.251001824754,16835.583652712285
180,1173,1,40,2,2,0,3,1,2615.446186201877,7152.734427570845
181,1181,1,52,3,12,2,1,1,18359.734963020455,16903.060851751692
182,1186,1,35,3,12,0,0,1,11212.295199059952,8912.8559302673
183,1190,1,18,3,16,0,2,1,3114.581554565485,9351.106897171137
184,1193,1,27,4,17,2,0,0,13179.560925364363,21488.001745620342
185,1197,1,58,1,1,1,3,2,12271.73951749134,9445.087083909606
186,1199,1,63,3,5,0,2,0,6509.243066367987,8194.75832336055
187,1199,2,63,3,5,0,2,0,7261.830103851782,8194.75832336055
188,1201,1,68,5,4,0,2,2,16316.846091465315,11490.20256080169
189,1208,1,59,5,15,0,1,0,9141.051566898468,11285.229209122972
190,1230,1,34,4,11,2,2,0,21234.154487010317,19995.24951354483
191,1256,1,22,4,1,0,0,0,4094.9057684734357,8632.159633587491
192,1257,1,30,1,6,1,2,0,9003.347225309946,8632.15963358746
193,1258,1,49,1,17,0,0,2,3705.7383816907904,9002.431621563604
194,1264,1,64,1,5,0,0,0,2826.4701571357396,6709.300653377035
195,1271,1,39,3,8,2,1,1,10499.803725057101,16110.878402831602
196,1275,1,61,1,1,0,2,1,7434.271614455191,6394.86114039483
197,1278,1,62,1,10,2,0,0,10186.966334350389,11513.205961656337
198,1284,1,63,4,16,0,1,0,5755.4522318288655,10334.571394570143
199,1285,1,39,4,17,1,0,0,20881.43313111278,14991.670112492284
200,1293,1,43,4,18,0,0,2,12598.246019181372,12298.7142084761
201,1318,1,51,1,9,1,0,0,13667.559999538336,8948.578752001402
202,1332,1,58,4,12,1,2,2,8639.438967642822,16403.499906881054
203,1343,1,24,3,13,0,0,1,17066.2525078388,9020.454501679225
204,1354,1,70,1,9,2,2,1,23343.087710757492,11375.873135065982
205,1365,1,49,5,10,0,1,1,15084.103770153022,10628.02862252103
206,1377,1,72,5,14,0,0,1,12535.609741392082,11150.61575469762
207,1377,2,72,5,14,0,0,1,12594.804085678632,11150.61575469762
208,1388,1,36,5,4,0,3,0,10197.179953580388,9889.708994821636
209,1393,1,74,1,9,0,3,1,2843.418775044496,7039.201363272482
210,1394,1,60,1,9,2,1,0,7035.604152897883,11375.873135065982
211,1396,1,51,5,12,0,1,1,8837.696780738963,10886.1868163127
212,1402,1,31,5,15,0,2,1,5504.328157605908,11285.229209122972
213,1402,2,31,5,15,0,2,1,21357.88606865787,11285.229209122972
214,1412,1,50,3,11,1,0,2,15949.672074849474,14090.41418314892
215,1413,1,32,5,11,1,2,0,36764.62854470288,16046.56360456979
216,1416,1,62,5,11,1,2,1,21302.44563063832,16046.56360456979
217,1439,1,36,5,7,0,2,0,4087.9881476505634,10252.224649575723
218,1445,1,25,2,14,0,0,0,14571.704791273594,8260.579322900616
219,1450,1,23,5,19,0,2,1,7943.74864809882,11840.131324822405
220,1458,1,43,5,15,2,1,1,45729.22504882836,25115.73949232187
221,1472,1,57,5,9,1,3,0,30867.140233817077,15666.030737862866
222,1482,1,18,4,18,2,1,0,39317.695300082094,21747.411109848224
223,1489,1,24,2,16,1,0,1,17367.70935707788,11195.307541701379
224,1496,1,42,5,16,0,1,0,12461.03377746825,11421.467756055408
225,1500,1,65,5,3,0,1,1,8352.551067715938,9771.74170621945
226,1505,1,52,2,19,0,1,0,21264.714900269813,8771.385020692798
227,1508,1,45,4,3,0,0,0,8829.109616938553,8841.837535169914
228,1509,1,67,1,16,1,1,0,6768.914531467251,9732.732809200448
229,1534,1,28,2,4,2,0,0,14059.489052413694,12826.261143753285
230,1537,1,26,4,11,0,2,1,15738.380991332275,9732.732809200465
231,1541,1,45,5,4,2,2,0,34877.80856197367,22009.95213885567
232,1542,1,31,5,0,0,2,1,4458.844935742816,9426.215787328809
233,1542,2,31,5,0,0,2,1,14678.942087807858,9426.215787328809
234,1544,1,50,5,6,2,0,1,28314.682761578173,22544.58087306582
235,1561,1,34,2,16,1,4,0,7958.469270923491,11195.307541701379
236,1562,1,32,5,9,0,0,0,5736.246346860894,10501.254445399993
237,1563,1,32,5,15,0,0,1,21301.819653741397,11285.229209122972
238,1564,1,70,5,12,1,0,0,32365.866125897122,16240.282355712054
239,1568,1,52,5,4,1,4,0,30072.73799716031,14753.712130959919
240,1568,2,52,5,4,1,4,0,6177.343159483511,14753.712130959919
241,1584,1,41,4,16,2,0,0,16264.027774618406,21231.686690775234
242,1593,1,39,4,15,0,2,1,9057.314174448722,10211.297659526826
243,1593,2,39,4,15,0,2,1,20057.59620056152,10211.297659526826
244,1594,1,19,3,3,0,1,0,10723.289798684229,8000.425446016581
245,1608,1,51,3,1,0,1,0,5936.571470654022,7810.701034929542
246,1620,1,74,4,18,1,1,2,16565.80226946596,17628.10883627998
247,1624,1,18,1,11,1,2,2,13556.036520690215,10649.305950001099
248,1625,1,49,4,14,0,0,1,13085.056890930955,10089.49436899169
249,1628,1,51,4,14,1,0,1,31328.550458052574,14461.5690571167
250,1634,1,68,2,14,0,3,0,15820.910445596694,8260.579322900616
251,1645,1,25,3,3,1,2,1,18805.17398935989,11017.6080082093
252,1648,1,55,1,8,0,1,0,3927.2235168505636,6955.235748188675
253,1657,1,66,2,18,0,2,0,5061.4794815827345,8666.75742156741
254,1662,1,52,4,15,2,0,1,10457.644164742338,20978.42903550213
255,1665,1,47,5,2,1,0,1,15626.701305051145,14403.838319338069
256,1679,1,70,1,18,2,0,1,8414.712726189886,12673.265817922727
257,1681,1,71,2,5,0,3,1,8845.161411200015,7414.923962738238
258,1694,1,40,5,14,0,1,2,16731.063948277984,12955.167211313175
259,1696,1,56,2,1,0,3,1,6957.286666656143,7067.414557496434
260,1702,1,28,5,9,0,0,0,14866.690045547572,10501.254445399993
261,1703,1,56,5,4,0,1,2,7040.02343221404,11490.20256080169
262,1706,1,66,1,12,0,4,0,2828.591178627603,7297.229247863296
263,1707,1,74,5,4,0,0,0,5862.061192272111,9889.708994821636
264,1707,2,74,5,4,0,0,0,13702.656989784364,9889.708994821636
265,1717,1,54,3,16,1,2,1,30973.67028323379,12877.66893536782
266,1727,1,72,4,6,2,1,1,37154.334378985644,18830.81683202421
267,1731,1,62,3,14,0,0,0,7159.01666161728,9129.352034126798
268,1738,1,23,1,13,2,2,0,17727.970068283677,11935.232272005214
269,1753,1,53,3,1,0,1,1,3191.369245789595,7810.701034929542
270,1768,1,44,5,17,1,1,1,35433.45338005601,17244.525331510835
271,1769,1,21,2,7,0,0,0,8900.603480535066,7595.03482292793
272,1791,1,51,4,15,1,1,0,19862.343636155678,14636.153296230952
273,1792,1,68,4,19,1,2,1,4715.258488447539,15355.822545236037
274,1800,1,47,1,2,0,4,2,8532.695963459406,7519.4629637589405
275,1807,1,18,4,7,1,0,1,32287.69197008392,13296.4186032912
276,1820,1,34,1,18,1,0,0,10337.034576513895,9969.1439830804
277,1834,1,22,4,8,2,0,0,16178.109733266932,19288.223359014166
278,1846,1,53,4,14,0,0,0,7735.048233715795,10089.49436899169
279,1848,1,48,2,7,0,4,0,4509.958066451493,7595.03482292793
280,1852,1,32,1,3,1,0,1,7724.112528714085,8326.929002336978
281,1853,1,43,3,7,0,0,1,3796.529226611265,8393.811608071786
282,1855,1,24,4,12,1,0,0,15975.820871660238,14118.62321114021
283,1859,1,47,2,16,0,3,0,13763.465164247129,8461.231420614573
284,1861,1,60,1,2,2,2,0,7295.928988763177,10459.333325752485
285,1868,1,61,2,10,1,1,0,11366.968431634365,10417.579555661321
286,1873,1,52,1,19,0,1,1,6770.644757423217,7936.677374722966
287,1894,1,58,1,19,0,1,0,8714.147112725828,7936.677374722966
288,1897,1,50,3,9,1,1,1,17260.80380490324,11840.131324822405
289,1899,1,60,4,5,2,1,1,20651.739837013185,18606.19744180746
290,1899,2,60,4,5,2,1,1,26389.443487262524,18606.19744180746
291,1912,1,68,4,19,0,4,1,12613.00138782059,10713.393857158993
292,1924,1,42,1,3,1,2,1,11828.753635049805,8326.929002336978
293,1930,1,72,4,10,0,4,1,10111.839506014263,9616.637977614208
294,1934,1,72,4,10,1,0,1,14613.802791229577,13783.8100824925
295,1957,1,48,5,8,0,1,0,13412.483642992558,10375.992467065327
296,1958,1,48,1,10,0,1,1,6049.283318303566,7124.180635516386
297,1967,1,39,4,14,0,0,1,11417.989990457527,10089.49436899169
298,1971,1,65,4,17,1,2,0,8113.170554367435,14991.670112492284
299,1974,1,37,1,2,0,1,1,2110.2263323029233,6472.061751340123
300,1975,1,49,3,8,2,0,1,14973.81285575695,16110.878402831602
301,1989,1,30,5,8,1,2,1,8811.673481548829,15479.16182490781
302,1990,1,70,3,16,1,1,1,32883.822436376104,12877.66893536782
303,1994,1,54,3,6,1,2,1,6491.41669212526,11421.467756055386
304,1996,1,18,5,15,0,2,0,15157.98326790746,11285.229209122972
305,2016,1,36,5,12,0,0,2,7543.1095708322355,12647.94461592929
306,2018,1,59,4,6,0,2,2,9262.670776088225,10649.305950001117
307,2020,1,44,5,17,0,1,0,5509.192764592346,11559.351014081107
308,2022,1,55,4,11,0,3,0,4407.402532852045,9732.732809200465
309,2024,1,52,4,17,1,2,0,15450.586714715397,14991.670112492284
310,2025,1,22,5,15,0,2,1,7988.474197807941,11285.229209122972
311,2026,1,44,1,13,0,2,1,9783.454540483486,7385.323507265496
312,2049,1,60,1,11,0,4,0,12610.898189306758,7210.185802082461
313,2056,1,38,1,16,0,0,0,2804.931601047036,7656.038792033628
314,2064,1,59,3,5,1,3,0,17694.491930970235,11285.229209122972
315,2073,1,40,3,7,0,1,0,4252.57547730383,8393.811608071786
316,2073,2,40,3,7,0,1,0,6007.813154834089,8393.811608071786
317,2078,1,43,2,11,1,1,0,4192.155332214285,10543.343585342616
318,2079,1,32,5,8,2,1,1,9333.85376198283,23092.195909183436
319,2079,2,32,5,8,2,1,1,6809.972726492309,23092.195909183436
320,2083,1,36,4,5,0,0,2,7241.139671417831,10522.277970808365
321,2107,1,61,4,7,2,1,0,16944.120783456565,19058.147892404617
322,2113,1,70,5,3,0,0,0,6847.832734628423,9771.74170621945
323,2123,1,51,5,5,1,1,0,4794.132867493418,14931.82320565183
324,2129,1,21,5,7,0,2,1,3003.91935574172,10252.224649575723
325,2136,1,57,2,8,2,4,0,11632.562055534656,13456.936809554429
326,2136,2,57,2,8,2,4,0,17853.68876281675,13456.936809554429
327,2141,1,57,2,15,2,2,0,14418.73093788505,14636.153296230952
328,2155,1,58,4,16,2,0,1,50988.14663654385,21231.686690775234
329,2155,2,58,4,16,2,0,1,17872.79671427241,21231.686690775234
330,2156,1,45,2,10,1,2,1,10651.836099446326,10417.579555661321
331,2182,1,31,1,11,0,1,0,6126.895729541113,7210.185802082461
332,2188,1,32,4,7,2,1,1,10658.996773647632,19058.147892404617
333,2188,2,32,4,7,2,1,1,14967.974553990065,19058.147892404617
334,2190,1,51,5,0,0,0,1,12851.019938951189,9426.215787328809
335,2214,1,24,5,15,2,1,0,34984.582325932075,25115.73949232187
336,2218,1,74,2,8,2,1,2,16361.076728468994,15634.729987571032
337,2224,1,42,2,10,0,1,1,16159.246672667858,7873.437253490392
338,2226,1,53,2,2,0,0,0,7907.901980989284,7152.734427570845
339,2226,2,53,2,2,0,0,0,7359.261291606228,7152.734427570845
340,2243,1,43,3,1,0,0,1,15339.86525844231,7810.701034929542
341,2246,1,65,4,13,0,1,1,5783.320981562072,9969.143983080436
342,2250,1,42,1,19,2,1,0,24183.294936880975,12826.261143753285
343,2251,1,46,2,9,1,1,0,5178.806382673138,10293.315675437725
344,2252,1,49,2,6,2,2,0,9756.489199460748,13137.815104283169
345,2255,1,34,5,0,1,0,1,4402.69406847562,14062.26151683315
346,2287,1,69,3,1,1,0,0,10616.69449806016,10756.333254129051
347,2297,1,27,4,4,0,1,1,15947.928080142488,8948.578752001418
348,2300,1,68,4,13,0,1,0,5116.395763518758,9969.143983080436
349,2304,1,68,4,2,0,0,0,6428.211354049101,8736.369558222243
350,2314,1,21,3,18,2,3,1,13823.043767544434,18164.96467537078
351,2314,2,21,3,18,2,3,1,13873.023883893362,18164.96467537078
352,2323,1,37,1,3,2,1,1,5113.704808974763,10585.601419007568
353,2324,1,55,3,14,0,3,1,8011.453797706417,9129.352034126798
354,2324,2,55,3,14,0,3,1,18610.9377426894,9129.352034126798
355,2325,1,60,5,6,0,4,1,6611.130377609767,10129.933170151586
356,2328,1,27,3,18,1,1,1,12869.560190029571,13190.471607498073
357,2342,1,40,5,1,0,1,2,10766.713880442741,11083.91237043228
358,2347,1,36,4,17,1,3,0,10367.107080135747,14991.670112492284
359,2368,1,28,4,17,0,2,0,10478.128216026993,10459.333325752503
360,2369,1,27,4,10,1,1,1,9609.794487655055,13783.8100824925
361,2374,1,40,4,18,0,1,1,11449.448090965212,10585.601419007568
362,2397,1,71,5,9,0,2,0,8683.865999005213,10501.254445399993
363,2397,2,71,5,9,0,2,0,4166.498109569913,10501.254445399993
364,2399,1,32,5,4,2,1,1,7034.066448473026,22009.95213885567
365,2400,1,59,5,1,0,4,0,2530.384313119578,9540.01178722743
366,2405,1,39,2,17,0,0,1,5874.731562941465,8563.37785048697
367,2409,1,44,2,7,2,0,0,18049.541920306674,13296.4186032912
368,2415,1,39,1,19,1,3,2,6744.383424548413,11722.32004970872
369,2428,1,39,3,1,0,0,2,6810.370055146666,9074.739922094386
370,2433,1,27,4,7,0,0,0,5565.777921455249,9276.59648104672
371,2435,1,43,2,19,0,0,0,4763.62651225409,8771.385020692798
372,2436,1,50,4,7,2,1,1,55018.842488808325,19058.147892404617
373,2436,2,50,4,7,2,1,1,10562.47785510918,19058.147892404617
374,2450,1,27,3,1,0,1,1,3191.5865443887587,7810.701034929542
375,2451,1,65,4,6,0,1,0,4816.3840282346755,9165.942574556786
376,2454,1,44,3,5,0,0,1,7340.16603313341,8194.75832336055
377,2455,1,65,1,16,0,2,1,4801.061234259559,7656.038792033628
378,2489,1,47,1,18,1,0,1,10029.233889624515,9969.1439830804
379,2490,1,38,1,16,1,3,1,5598.972429243921,9732.732809200448
380,2495,1,41,4,17,1,1,0,9326.497220626761,14991.670112492284
381,2506,1,24,3,4,1,3,2,7547.37604932935,12955.167211313175
382,2525,1,21,4,9,2,4,0,15958.225246636253,19521.07636311762
383,2532,1,63,5,2,1,0,0,18332.881609983506,14403.838319338069
384,2546,1,40,3,19,0,4,1,13076.250989521803,9693.879636114058
385,2554,1,29,2,2,0,1,2,15492.982119877217,8310.291787093296
386,2571,1,63,1,15,0,2,0,3159.3223424795005,7564.715362982049
387,2580,1,50,5,4,0,1,0,4798.596328760577,9889.708994821636
388,2590,1,37,1,9,0,0,0,3650.9887528874324,7039.201363272482
389,2594,1,23,5,14,1,4,1,14273.526064865307,16634.76397676574
390,2594,2,23,5,14,1,4,1,7907.56271521966,16634.76397676574
391,2595,1,35,5,13,2,3,0,14429.2886023991,24520.137556356232
392,2597,1,46,4,19,0,0,2,15591.035281453496,12447.187839082164
393,2597,2,46,4,19,0,0,2,19274.60554318729,12447.187839082164
394,2607,1,48,4,16,2,0,0,26719.8355004053,21231.686690775234
395,2611,1,73,5,5,0,0,0,10262.853345418309,10009.100418608576
396,2618,1,20,2,0,0,0,1,4169.553426551464,6983.112407330842
397,2620,1,71,4,4,0,0,0,7782.994326668773,8948.578752001418
398,2629,1,53,1,17,2,1,2,23420.94717586313,14548.599301100807
399,2639,1,26,4,16,2,1,1,26261.405236973253,21231.686690775234
400,2640,1,66,4,4,2,4,1,25707.96317795245,18384.25737617396
